word,gt,options
wedge,triangle,"['triangle', 'square', 'circle']"
flag,square,"['triangle', 'square', 'circle']"
carrot,triangle,"['triangle', 'square', 'circle']"
wheel,circle,"['triangle', 'square', 'circle']"
towel,square,"['triangle', 'square', 'circle']"
disk,circle,"['triangle', 'square', 'circle']"
pyramid,triangle,"['triangle', 'square', 'circle']"
cake,circle,"['triangle', 'square', 'circle']"
pizza,circle,"['triangle', 'square', 'circle']"
board,square,"['triangle', 'square', 'circle']"
moon,circle,"['triangle', 'square', 'circle']"
ball,circle,"['triangle', 'square', 'circle']"
door,square,"['triangle', 'square', 'circle']"
dagger,triangle,"['triangle', 'square', 'circle']"
window,square,"['triangle', 'square', 'circle']"
paper,square,"['triangle', 'square', 'circle']"
arrowhead,triangle,"['triangle', 'square', 'circle']"
plate,circle,"['triangle', 'square', 'circle']"
sail,triangle,"['triangle', 'square', 'circle']"
box,square,"['triangle', 'square', 'circle']"
ice cube,square,"['triangle', 'square', 'circle']"
spade,triangle,"['triangle', 'square', 'circle']"
coin,circle,"['triangle', 'square', 'circle']"
die,square,"['triangle', 'square', 'circle']"
orange,circle,"['triangle', 'square', 'circle']"
nose,triangle,"['triangle', 'square', 'circle']"
corn chip,triangle,"['triangle', 'square', 'circle']"
globe,circle,"['triangle', 'square', 'circle']"
laptop,square,"['triangle', 'square', 'circle']"
brick,square,"['triangle', 'square', 'circle']"
button,circle,"['triangle', 'square', 'circle']"
traffic cone,triangle,"['triangle', 'square', 'circle']"
merry go round,circle,"['triangle', 'square', 'circle']"
teabag,square,"['triangle', 'square', 'circle']"
waffle,square,"['triangle', 'square', 'circle']"
baseball,circle,"['triangle', 'square', 'circle']"
eye,circle,"['triangle', 'square', 'circle']"
slice of pizza,triangle,"['triangle', 'square', 'circle']"
toast,square,"['triangle', 'square', 'circle']"
ring,circle,"['triangle', 'square', 'circle']"
mountain,triangle,"['triangle', 'square', 'circle']"
card,square,"['triangle', 'square', 'circle']"
slice of cake,triangle,"['triangle', 'square', 'circle']"
pancake,circle,"['triangle', 'square', 'circle']"
christmas tree,triangle,"['triangle', 'square', 'circle']"
phone,square,"['triangle', 'square', 'circle']"
ice cream cone,triangle,"['triangle', 'square', 'circle']"
falafel,circle,"['triangle', 'square', 'circle']"
calculator,square,"['triangle', 'square', 'circle']"
tent,triangle,"['triangle', 'square', 'circle']"
clock,circle,"['triangle', 'square', 'circle']"
clothes hanger,triangle,"['triangle', 'square', 'circle']"
book,square,"['triangle', 'square', 'circle']"
potato,circle,"['triangle', 'square', 'circle']"
stamp,square,"['triangle', 'square', 'circle']"
tile,square,"['triangle', 'square', 'circle']"
clown hat,triangle,"['triangle', 'square', 'circle']"
rice cake,circle,"['triangle', 'square', 'circle']"
slice of cheese,square,"['triangle', 'square', 'circle']"
knob,circle,"['triangle', 'square', 'circle']"
napkin,square,"['triangle', 'square', 'circle']"
boulder,circle,"['triangle', 'square', 'circle']"
basketball,circle,"['triangle', 'square', 'circle']"
yield sign,triangle,"['triangle', 'square', 'circle']"
page,square,"['triangle', 'square', 'circle']"
envelope,square,"['triangle', 'square', 'circle']"
doughnut,circle,"['triangle', 'square', 'circle']"
balloon,circle,"['triangle', 'square', 'circle']"
hand fan,triangle,"['triangle', 'square', 'circle']"
file cabinet,square,"['triangle', 'square', 'circle']"
bead,circle,"['triangle', 'square', 'circle']"
bookshelf,square,"['triangle', 'square', 'circle']"
drain cover,circle,"['triangle', 'square', 'circle']"
hamburger,circle,"['triangle', 'square', 'circle']"
folder,square,"['triangle', 'square', 'circle']"
saucer,circle,"['triangle', 'square', 'circle']"
grapefruit,circle,"['triangle', 'square', 'circle']"
tablet,square,"['triangle', 'square', 'circle']"
meatball,circle,"['triangle', 'square', 'circle']"
marble,circle,"['triangle', 'square', 'circle']"
TV,square,"['triangle', 'square', 'circle']"
watch face,circle,"['triangle', 'square', 'circle']"
teepee,triangle,"['triangle', 'square', 'circle']"
desk,square,"['triangle', 'square', 'circle']"
pill,circle,"['triangle', 'square', 'circle']"
notebook,square,"['triangle', 'square', 'circle']"
tire,circle,"['triangle', 'square', 'circle']"
pearl,circle,"['triangle', 'square', 'circle']"
puck,circle,"['triangle', 'square', 'circle']"
sun,circle,"['triangle', 'square', 'circle']"
table,square,"['triangle', 'square', 'circle']"
disc,circle,"['triangle', 'square', 'circle']"
carpet,square,"['triangle', 'square', 'circle']"
prism,triangle,"['triangle', 'square', 'circle']"
guitar pick,triangle,"['triangle', 'square', 'circle']"
medal,circle,"['triangle', 'square', 'circle']"
hula hoop,circle,"['triangle', 'square', 'circle']"
magazine,square,"['triangle', 'square', 'circle']"
frisbee,circle,"['triangle', 'square', 'circle']"
kite,triangle,"['triangle', 'square', 'circle']"
gear,circle,"['triangle', 'square', 'circle']"
penny,circle,"['triangle', 'square', 'circle']"
poster,square,"['triangle', 'square', 'circle']"
mirror,square,"['triangle', 'square', 'circle']"
airplane wing,triangle,"['triangle', 'square', 'circle']"
orb,circle,"['triangle', 'square', 'circle']"
compass,circle,"['triangle', 'square', 'circle']"
cupcake,circle,"['triangle', 'square', 'circle']"
license plate,square,"['triangle', 'square', 'circle']"
